Student_ID,Name,Maths,Physics,Biology,Social,Telugu,Hindi,English,Grade
S0001,Student_1,98,91,55,1,80,AB,88,No Grade
S0002,Student_2,40,8,33,86,53,1,18,No Grade
S0003,Student_3,32,40,11,23,65,68,AB,No Grade
S0004,Student_4,19,76,31,62,20,AB,55,No Grade
S0005,Student_5,76,35,77,16,23,49,AB,No Grade
S0006,Student_6,AB,82,82,0,16,3,62,No Grade
S0007,Student_7,89,58,68,68,14,39,82,No Grade
S0008,Student_8,AB,96,10,64,44,55,99,No Grade
S0009,Student_9,78,27,11,3,35,88,37,No Grade
S0010,Student_10,89,68,22,22,AB,62,AB,No Grade
S0011,Student_11,17,81,59,25,9,AB,20,No Grade
S0012,Student_12,22,48,11,14,66,84,AB,No Grade
S0013,Student_13,58,49,65,AB,40,91,49,No Grade
S0014,Student_14,47,55,38,44,22,13,1,No Grade
S0015,Student_15,61,87,14,31,29,94,93,No Grade
S0016,Student_16,89,AB,2,52,37,60,0,No Grade
S0017,Student_17,96,2,13,41,50,82,38,No Grade
S0018,Student_18,81,51,20,43,3,50,95,No Grade
S0019,Student_19,93,60,21,68,AB,81,90,No Grade
S0020,Student_20,37,74,28,33,11,50,AB,No Grade
S0021,Student_21,43,29,28,98,22,AB,75,No Grade
S0022,Student_22,AB,1,AB,92,19,83,15,No Grade
S0023,Student_23,AB,98,10,64,82,AB,14,No Grade
S0024,Student_24,AB,18,39,34,95,97,49,No Grade
S0025,Student_25,AB,32,66,72,AB,AB,78,No Grade
S0026,Student_26,69,AB,AB,61,21,22,25,No Grade
S0027,Student_27,92,84,75,23,100,24,93,No Grade
S0028,Student_28,67,79,12,61,46,65,46,No Grade
S0029,Student_29,98,40,49,79,10,79,67,No Grade
S0030,Student_30,2,6,18,57,53,63,74,No Grade
S0031,Student_31,92,AB,76,84,42,19,79,No Grade
S0032,Student_32,74,8,AB,80,83,97,38,No Grade
S0033,Student_33,31,79,72,26,10,50,23,No Grade
S0034,Student_34,54,4,94,84,85,14,6,No Grade
S0035,Student_35,74,31,10,AB,61,17,32,No Grade
S0036,Student_36,AB,23,25,41,6,6,65,No Grade
S0037,Student_37,79,89,21,73,27,88,53,No Grade
S0038,Student_38,11,46,41,88,87,77,19,No Grade
S0039,Student_39,57,73,88,55,9,7,91,No Grade
S0040,Student_40,27,6,42,10,14,54,39,No Grade
S0041,Student_41,90,11,39,93,30,30,23,No Grade
S0042,Student_42,44,51,AB,43,45,41,29,No Grade
S0043,Student_43,55,45,39,62,96,83,78,B2
S0044,Student_44,10,56,89,33,71,83,75,No Grade
S0045,Student_45,46,95,2,AB,98,79,45,No Grade
S0046,Student_46,39,51,AB,81,17,56,56,No Grade
S0047,Student_47,82,37,40,82,23,AB,54,No Grade
S0048,Student_48,15,7,46,4,42,52,36,No Grade
S0049,Student_49,64,AB,AB,AB,55,71,AB,No Grade
S0050,Student_50,33,AB,93,38,72,27,24,No Grade
S0051,Student_51,AB,9,96,AB,84,AB,20,No Grade
S0052,Student_52,68,64,AB,43,5,52,57,No Grade
S0053,Student_53,84,AB,89,33,11,13,AB,No Grade
S0054,Student_54,4,37,AB,83,5,77,2,No Grade
S0055,Student_55,46,23,63,AB,23,81,46,No Grade
S0056,Student_56,98,93,AB,60,AB,4,87,No Grade
S0057,Student_57,82,9,18,86,30,80,30,No Grade
S0058,Student_58,52,38,56,74,56,0,69,No Grade
S0059,Student_59,76,85,AB,30,70,60,89,No Grade
S0060,Student_60,33,82,AB,6,87,AB,53,No Grade
S0061,Student_61,7,17,43,43,94,85,51,No Grade
S0062,Student_62,93,62,33,79,52,24,65,No Grade
